    [1220.76599121  742.13244629]
    [1218.89648438  635.35968018]
    [1247.89001465  634.0067749 ]
    [1354.23718262  631.1328125 ]
    [1407.24072266  837.08001709]
    [1460.55871582 1043.46191406]
    [1471.4909668  1085.77832031]
    [1493.63342285 1171.4864502 ]
    [1430.19482422 1130.1003418 ]
    [1190.49658203  635.55786133]
    [1095.9342041   638.11334229]
    [1040.94543457  821.03302002]
    [929.45782471 699.85601807]
    [905.04473877 673.32122803]
    [853.82672119 617.65185547]
    [908.08618164 648.30621338]
    [1308.61352539  974.9765625 ]
    [1330.1373291  1479.08068848]
    [1353.55615234 1913.47460938]
    [1354.28186035 2206.88500977]
    [1147.65026855  962.8848877 ]
    [1160.16381836 1440.00085449]
    [1181.92858887 1851.49511719]
    [1162.50170898 2120.43652344]
    [1204.87463379  530.92248535]
    [1206.01550293  497.24694824]
    [1234.72155762  476.81835938]
    [1290.70458984  500.31994629]
    [1196.6328125   478.53384399]
    [1186.3458252   503.66412354]
    [1360.90332031 1969.65380859]
    [1194.56677246 1906.86804199]
    [1221.60437012  962.98907471]
    [1220.63952637  848.63336182]
    [1220.90991211  737.81976318]
    [1221.17236328  630.29541016]
    [1250.92126465  630.02557373]
    [1357.19970703  631.11791992]
    [1369.82141113  840.18908691]
    [1250.16967773  714.57647705]
    [1223.47558594  686.55236816]
    [1166.8807373   627.13800049]
    [1147.18041992  669.52160645]
    [1191.89477539  629.41888428]
    [1094.42016602  628.41705322]
    [1057.14172363  824.66278076]
    [1100.10827637  666.64355469]
    [1109.73657227  631.23352051]
    [1130.2010498   555.97058105]
    [1173.26611328  605.90808105]
    [1303.32702637  969.59051514]
    [1316.97912598 1460.70410156]
    [1328.39587402 1885.31433105]
    [1337.51086426 2172.75268555]
    [1142.89025879  956.63061523]
    [1149.17773438 1428.34155273]
    [1159.8347168 1836.5612793]
    [1148.29553223 2105.75708008]
    [1207.78674316  527.09680176]
    [1208.9909668   492.65969849]
    [1238.03283691  470.84738159]
    [1294.15161133  492.26385498]
    [1199.04602051  471.65039062]
    [1187.6315918   493.28512573]
    [1329.47045898 1940.01342773]
    [1166.59020996 1890.88293457]
    [1214.15600586  957.44152832]
    [1212.73474121  844.69891357]
    [1213.4831543   735.24511719]
    [1214.2109375   628.80511475]
    [1243.70349121  628.83374023]
    [1347.56347656  630.94354248]
    [1360.87866211  831.05059814]
    [1245.70593262  647.91082764]
    [1222.12194824  610.40911865]
    [1174.38684082  534.50402832]
    [1156.66772461  590.19689941]
    [1185.06848145  627.64263916]
    [1087.58947754  625.66247559]
    [1058.21447754  824.39886475]
    [1138.06103516  670.2074585 ]
    [1155.82849121  635.89678955]
    [1193.44213867  563.2612915 ]
    [1222.8984375   613.34301758]
    [1294.2130127   962.22973633]
    [1307.14416504 1440.27172852]
    [1315.17822266 1851.7265625 ]
    [1331.9987793  2129.28149414]
    [1136.23791504  952.78125   ]
    [1142.63269043 1417.1817627 ]
    [1150.49304199 1817.2232666 ]
    [1147.08129883 2082.0234375 ]
    [1205.7232666   526.32733154]
    [1207.43786621  492.38919067]
    [1235.21936035  471.70428467]
    [1286.49926758  494.43945312]
    [1195.91479492  471.73791504]
    [1179.6282959   493.49685669]
    [1312.94714355 1904.54772949]
    [1154.00268555 1869.81933594]
    [1220.85400391  959.41955566]
    [1218.61547852  846.56988525]
    [1218.36206055  737.19250488]
    [1218.11608887  631.00976562]
    [1247.53100586  630.73614502]
    [1351.82763672  631.78192139]
    [1399.97644043  838.13812256]
    [1261.32702637  701.13562012]
    [1231.62731934  671.78863525]
    [1170.06689453  610.95941162]
    [1158.34729004  661.44940186]
    [1189.07885742  630.15002441]
    [1091.91503906  629.17578125]
    [1048.1574707   824.00305176]
